"flid","ord","ordflokkur","texti"
10916,"fellibylur","n m","kröpp lægð sem myndast yfir heitum höfum hitabeltisins"
39618,"stormsveipur","n m","mjög snörp vindhviða"
16117,"gormánuður","n m","gamalt mánaðarheiti, byrjar 21.- 27. október"
20344,"hnútasvipa","n f","svipa með hnútum á ólinni (einni eða fleiri)"
9943,"eldtunga","n f","logi, logatunga"
6302,"bola","v","ýta (e-m) burt, bægja (e-m) frá"
51121,"gloss","n n","háglansandi mjúkur varalitur"
29742,"nettvaxinn","adj","grannur og fíngerður"
30854,"óborinn","adj","sem ekki hefur verið borinn, ófæddur"
24811,"kröftugur","adj","sem hefur kraft, öflugur, sterkur"
45743,"vindlingur","n m","sígaretta"
24600,"kransæðastífla","n f","blóðtappi í kransæð"
24473,"koss","n m","snerting vara til að tjá hlýhug eða virðingu, það að kyssast"
24614,"krákustígur","n m","mjór, hlykkjóttur stígur eða gata"
11006,"ferjuflugmaður","n m","flugmaður sem flýgur lítilli flugvél tómri langar vegalengdir til nýs eiganda"
23633,"kárína","n f","hrekkur"
19790,"hjúskaparbrot","n n","það að halda fram hjá þeim sem maður er giftur"
26930,"log","n n","ljós, eldur"
26934,"logi","n m","afmarkaður tungulaga eldur"
16155,"góa","n f","gamalt mánaðarheiti, byrjar 18. -24. febrúar"
11342,"fiskverkandi","n m","atvinnurekandi sem framleiðir fiskafurðir"
9854,"eldabuska","n f","kona sem sér um matseld"
4826,"bankaræningi","n m","sá eða sú sem rænir banka"
11796,"fjölhæfni","n f","það að vera fjölhæfur"
2563,"aflausn","n f","fyrirgefning synda (í kaþólsku kirkjunni)"
20830,"hrekkur","n m","bragð eða tiltæki til að stríða öðrum"
21654,"húsráðandi","n m","maður (kona) sem rekur heimili"
64049,"reynslubolti","n m","sá eða sú sem býr yfir mikilli reynslu á tilteknu sviði"
7597,"byssuskefti","n n","handfang á byssu"
38955,"staðreyna","v","staðfesta vissu (um e-ð)"
5120,"beiðandi","n m","sá eða sú sem biður um e-ð (lagamál, sjá samsetningarnar á undan)"
56982,"blekkingaleikur","n m","eitthvað sem lítur vel út en er bara svik og blekking"
58405,"meðábyrgur","adj","ábyrgur ásamt með öðrum"
38678,"spilaborg","n f","turn sem hlaðinn er úr spilum"
41026,"sögukennsla","n f","það að kenna sögu"
43349,"upp fyrir","prae","lengra upp en (e-ð)"
50332,"sorppoki","n m","poki undir sorp"
54542,"eða hitt þó heldur","adv","eða alveg hið gagnstæða"
22260,"hökull","n m","hluti af messuskrúða prests (utan yfir rykkilíni), venjulega skreyttur á bakhlið"
50329,"ræstivagn","n m","vagn fyrir hreingerningaáhöld"
42397,"tryggðabönd","n npl","sterkt trúnaðarsamband manna á milli"
31699,"óverðugur","adj","sem verðskuldar ekki (e-ð), á (e-ð) ekki skilið"
26956,"lokast","v","hætta að vera opinn"
4476,"ástunga","n f","það að stinga á t.d. kýli"
16372,"gratúlera","v","óska (e-m) til hamingju"
40916,"sædjöfull","n m","fisktegund, djúpsjávarfiskur með ljósfæri"
19646,"hjartaskurðlæknir","n m","skurðlæknir sem er sérfræðingur í hjartaaðgerðum"
53618,"búsetuland","n n","land þar sem maður hefur fasta búsetu"
10235,"erfðaprins","n m","konungssonur eða sonur drottningar, sem stýrir erfðaríki sínu, og næstur er til ríkiserfða"
50323,"sápuskammtari","n m","ílát með pumpu til að skammta sápu"
11377,"fíaskó","n n","alveg misheppnaður hlutur"
19859,"hláturgas","n n","lofttegundin N2O, notuð m.a. til deyfingar"
12142,"flokksskírteini","n n","skírteini manns um að hann sé félagsmaður í ákveðnum stjórnmálaflokki"
53619,"búsetuleyfi","n n","heimild til búsetu í landi"
22575,"inn fyrir","prae/adv","lengra inn en (e-ð)"
64047,"reykskemmdir","n fpl","skemmdir af völdum reyks eftir bruna"
49869,"öryggishjálmur","n m","hjálmur til að verja höfuðið á vinnusvæði"
12506,"fordrykkur","n m","drykkur sem borinn er fram fyrir mat, lystauki"
31917,"pellsaumur","n m","útsaumsspor unnið eftir reitamynstrum þannig að fjögur jafnstór spor sem mynda saman nokkurskonar tigul koma fyrir hvern skásettan reit í mynstrinu, flórenskur saumur"
6795,"brellinn","adj","hrekkjóttur, uppátækjasamur"
9609,"einkavegur","n m","lagður vegur af einkaaðila og umferð takmörkuð eða bönnuð óviðkomandi"
59744,"gæsluliði","n m","starfsmaður gæsluliðs"
14296,"fylkir","n m","konungur, fursti"
16902,"græðireitur","n m","reitur með loki til að rækta ungplöntur"
6489,"bókavarsla","n f","starf á bókasafni"
40927,"sæhestur","n m","fiskur sem er sérkennilegur að lögun"
5110,"beð","n n","reitur í garði fyrir blóm eða matjurtir"
5244,"beljandi","adj","sem drynur í"
45250,"vermireitur","n m","reitur til að rækta plöntur, með hita eða loki"
2575,"afleikur","n m","það að leika af sér, röng ákvörðun, mistök"
50322,"handþvottakrem","n n","fljótandi sápa sem hreinsar mjög erfið óhreinindi, olíu og feiti"
49870,"meðgöngufatnaður","n m","föt til að vera í á meðgöngu"
46666,"ýla","v","gefa frá sér hátt, hvellt hljóð"
42401,"tryggðatröll","n n","mjög trygglyndur maður"
18436,"heiðurssæti","n n","röð, staður eða sæti sem einhver skipar sakir verðleika sinna, heiðurssess"
64816,"útsýnispallur","n m","pallur þaðan sem er mikið eða fagurt útsýni"
5443,"bévítans","adj","blótsyrði"
53634,"farandverkafólk","n n","verkafólk sem fer um og vinnur í ákveðinn tíma á hverjum stað"
44928,"vegur","n m","braut milli staða, akbraut"
47878,"því að","conj","samtenging í aukasetningu, táknar ástæðu eða orsök, sem leiðir til röklegrar afleiðingar: af því að"
59741,"fréttaauki","n m","fréttaskýringaþáttur, oft í kjölfar almenns fréttatíma í ljósvakamiðlum"
37468,"skyssa","n f","smávægileg mistök"
12765,"forsjáraðili","n m","sá eða sú sem fer með forsjá barns, forráðamaður"
12767,"forsjármaður","n m","forráðamaður"
53654,"gullfylling","n f","tannfylling úr gulli"
5940,"blettahreinsun","n f","það að hreinsa bletti með hreinsiefni"
43189,"undirstrika","v","leggja áherslu á (e-ð)"
8213,"djarftækur","adj","djarfur að taka til sín"
2275,"aðdáunarverður","adj","sem vekur aðdáun"
42417,"trygglyndi","n n","það að vera tryggur, tryggð sem eiginleiki"
59745,"friðargæsluliði","n m","liðsmaður í friðargæsluliði"
24813,"kröfuganga","n f","ganga ákveðins hóps fólks til að vekja athygli á sameiginlegum kröfum sínum"
26620,"líkamlega","adv","sem varðar líkamann"
47081,"þjóðarbrot","n n","hópur manna af e-i þjóð á landsvæði þar sem önnur þjóð er fyrirferðarmeiri"
45156,"verðskuldaður","adj","sem maður á skilið"
17220,"gæslulið","n n","sveit manna sem starfar við gæslu og eftirlit"
43951,"út fyrir","prae/adv","lengra út en (e-ð)"
53056,"duftker","n n","ílát sem aska látins manns er varðveitt í eða jarðsett í"
15277,"gerill","n m","örvera, oftast ófrumbjarga einfrumungur, sumar tegundir eru rotverur, aðrar valda sjúkdómum (eru sýklar)"
56928,"laxveiðiá","n f","á þar sem lax er veiddur"
18891,"heldri","adj","sem er í hárri þjóðfélagsstöðu, fínn"
53683,"langdvölum","adv","í langan tíma í einu"
42396,"tryggð","n f","það að vera tryggur"
3851,"austan","adv","úr austri/austurátt"
6980,"brjósthol","n n","hollrúmið ofan við þindina í líkamanum"
41469,"teoría","n f","fræðikenning"
36366,"skerpla","n f","gamalt mánaðarheiti, byrjar 19.- 25. maí"
47112,"þjóðflokkur","n m","hópur fólks af sama uppruna sem býr á sama svæði"
12795,"forstaða","n f","það að stjórna einhverju, yfirmannsstaða"
57688,"þíddur","adj","sem frostið er farið úr (t.d. fiskur)"
46399,"vörugeymsla","n f","bygging sem er geymslustaður fyrir varning áður en hann er sendur á markað"
10196,"engu að síður","adv","samt sem áður, samt"
23498,"karlrembusvín","n n","karlmaður sem trúir að karlmenn séu fremri konum og sýnir það í orðum og verkum"
23009,"japl","n n","jórtur, það að margtyggja e-ð"
14142,"fum","n n","óðagot og fát"
42604,"tvímánuður","n m","gamalt mánaðarheiti, byrjar 22. – 28. ágúst"
56642,"klæðlítill","adj","illa klæddur"
48163,"æruverður","adj","sem nýtur heiðurs og virðingar"
64095,"rökvilla","n f","villa í röksemdafærslu sem getur leitt til rangrar ályktunar"
19760,"hjónadjöfull","n m","sá (sú) sem spillir hjónabandi, kemst upp á milli hjóna"
53712,"millinafn","n n","nafn sem kemur á milli eiginnafns eða eiginnafna og kenninafns"
26792,"ljóskastari","n m","lampi sem varpar sterku ljósi á afmarkað svæði (t.d. í leikhúsi eða til að lýsa upp vinnusvæði)"
11466,"fjall","n n","há og umfangsmikil, oft kúpt eða strýtumynduð bunga sem gnæfir yfir umhverfi sitt í landslagi"
51556,"olíuborinn","adj","sem búið er að bera olíu á"
53736,"sambúðaraðili","n m","sá eða sú sem er í sambúð með einhverjum"
18834,"heimtufrekja","n f","það að vera heimtufrekur"
3645,"atvinnurekandi","n m","eigandi eða forstöðumaður atvinnufyrirtækis"
47146,"þjóðleikhús","n n","bygging sem hýsir aðalleikhús þjóðar"
5573,"biskupsritari","n m","skrifstofustjóri biskupsembættis"
18835,"heimtufrekur","adj","sem heimtar margt, gerir miklar kröfur"
11093,"félagaréttur","n m","sú grein lögfræði sem fjallar um starfsemi félaga"
11522,"fjarðarbotn","n m","innsti hluti fjarðar"
14584,"föðurlega","adv","eins og faðir"
20406,"holdlegur","adj","líkamlegur, lostafullur"
41770,"tilætlunarsemi","n f","heimtufrekja, það að vera tilætlunarsamur"
41769,"tilætlunarsamur","adj","sem ætlast til mikils af öðrum, heimtufrekur"
29484,"námfús","adj","sem hefur gaman af (er fús til) að læra, fróðleiksfús"
50327,"gluggaskafa","n f","skafa með gúmmíkanti til að hreinsa með rúður"
20212,"hnattreisa","n f","ferð umhverfis jörðina, hnattferð"
3646,"atvinnurekstur","n m","rekstur atvinnufyrirtækis"
41868,"tímaglas","n n","stundaglas"
48965,"gasgríma","n f","hlíf (með síum) fyrir vitin til að verjast eitruðu gasi"
56757,"kristalsljósakróna","n f","ljósakróna úr kristal"
35566,"sjálfboðaliði","n m","sá eða sú sem býður sig sjálfur fram til einhverrar vinnu eða þjónustu"
30161,"nytsamlegur","adj","sem hafa má gagn af"
15492,"gígskál","n f","skállaga gígur eldfjalls"
29182,"mænusótt","n f","sjúkdómur sem veldur lömun, lömunarveiki"
39565,"stofnsetja","v","setja (e-ð) á stofn, koma (e-u) á fót, stofna (e-ð)"
4793,"bandprjónn","n m","prjónn til að prjóna með"
5628,"bílaverkstæði","n n","verkstæði þar sem gert er við bíla, bifreiðaverkstæði"
9290,"eftirmiðdagur","n m","síðdegi"
9888,"eldhugi","n m","maður sem er fullur af eldmóð og ákafa"
15882,"gljúfurveggur","n m","klettaveggur í gljúfri"
36956,"skólaregla","n f","regla sem gildir í skóla og nemendur eiga að lúta"
53777,"upprunaland","n n","landið þar sem e-ð á uppruna sinn, einkum þar sem vara er framleidd (t.d. matvara), eða sem maður er ættaður frá"
5690,"bjarghringur","n m","björgunarhringur"
9959,"elfa","n f","vatnsfall, á, fljót, elfur"
9961,"elfur","n f","vatnsfall, á, fljót, elfa"
51024,"rúðuskafa","n f","áhald til að skafa snjó af bílrúðu"
5642,"bílskýli","n n","bílastæði með þaki yfir"
50328,"moppa","n f","ílöng, þykk hreingerningatuska, fest við grind með löngu skafti"
31986,"persónuskilríki","n npl","skírteini sem sannar hver viðkomandi einstaklingur er"
7950,"dauðskelkaður","adj","mjög hræddur, illa brugðið"
15132,"geimflaug","n f","farartæki sem fer út í geim, geimfar"
15320,"gervihnöttur","n m","tæki sem er á braut um jörðu til fjarskipta og rannsókna, gervitungl"
17397,"hagi","n m","grösugt svæði þar sem búfé gengur á beit"
49710,"læri","n n","nám, einkum í iðngrein"
13252,"frammi fyrir","prae","fyrir framan (e-ð/e-n), andspænis (e-u/e-m)"
41102,"söngvinn","adj","hneigður fyrir söng"
35868,"sjúkrarúm","n n","rúm á sjúkrahúsi"
45016,"veitingar","n fpl","matur og drykkur sem boðið er upp á"
19003,"hemlun","n f","það að stöðva farartæki"
3333,"angistarfullur","adj","sem ber vott um hræðslu eða tilfinningalega kvöl"
9702,"einrænn","adj","sérlundaður, ómannblendinn"
34507,"samt","adv","engu að síður, þrátt fyrir"
15711,"glappaskot","n n","smávægileg mistök"
36258,"skeikull","adj","sem skjátlast stundum"
18055,"hálendishryggur","n m","belti af hálendi sem gengur eftir landsvæði"
46730,"þakkjölur","n m","ílangt stykki (áfella) sem lagt er á endilangan mæni og nær ofan á þakið beggja megin"
53807,"öryggissjónarmið","n n","það að taka tillit til öryggisþátta, miða hlutina við öryggið"
58008,"hamskurður","n m","það að stoppa upp dýr, uppstoppun"
18053,"hálendi","n n","stórt landsvæði sem liggur hátt yfir sjávarmáli"
47689,"þunghentur","adj","sem tekur fast eða þungt á e-u"
36275,"skelfdur","adj","mjög hræddur, gripinn skelfingu"
46673,"ýlir","n m","gamalt mánaðarheiti, byrjar 20. - 27. nóvember"
59737,"klúrheit","n npl","það sem er klúrt og klámfengið"
27550,"mannahald","n n","starfsmannahald"
44534,"vanta","v","hafa þörf fyrir (e-ð), skorta (e-ð)"
23690,"kenjar","n fpl","duttlungar"
36623,"skírnarvottorð","n n","vottorð um að maður hafi verið skírður og heiti tilteknu nafni"
58009,"uppstoppun","n f","það að stoppa upp dýr, taka innan úr þeim og fylla þau að nýju til að þau séu sem líkust upprunalegri mynd sinni"
17026,"gullgrafari","n m","maður sem grefur eftir gulli"
13267,"framreiðslustúlka","n f","stúlka sem vinnur við að bera fram veitingar"
41702,"tilsjón","n f","það að annast e-ð eða e-n, umsjón, eftirlit"
26663,"líkneskja","n f","líkneski"
41703,"tilsjónarmaður","n m","aðili sem tekur að sér umsjón og eftirlit, umsjónarmaður"
7815,"dagskrárliður","n m","atriði eða þáttur í einhverri dagskrá, t.d. útvarps"
42352,"trúarvakning","n f","vakning í trúarefnum"
53757,"starfsdagur","n m","dagur í skóla eða leikskóla þegar börnin mæta ekki en starfsfólk skipuleggur starfið"
36315,"skemmtanafíkinn","adj","sem er sólginn í skemmtanir"
11630,"fjárhættuspil","n n","spilamennska upp á peninga"
13254,"frammistöðustúlka","n f","stúlka sem vinnur við að bera fram veitingar"
59706,"auglýsingapési","n m","auglýsingabæklingur"
37604,"slarkfær","adj","sæmilega vel að sér"
32327,"prúðmennska","n f","það að vera kurteis og háttvís í framkomu"
17237,"göfgi","n f","göfugmennska, drenglyndi"
12708,"fornsali","n m","sá eða sú sem verslar með gamla muni"
26803,"ljósmyndavél","n f","tæki til að taka ljósmyndir, myndavél"
46737,"þakrenna","n f","eins konar stokkur undir þakbrún til þess að taka við vatni af þaki"
45615,"viðurhlutamikill","adj","mikill umfangs, umfangsmikill og víðfeðmur"
48849,"elstur","adj","efsta stig af gamall"
36587,"skíðaferð","n f","ferðalag til staðar þar sem farið er á skíði"
59694,"plötubúð","n f","verslun sem selur hljómplötur og hljómdiska"
33166,"reykjarpípa","n f","pípa til að reykja úr, tóbakspípa"
52792,"heimilisbíll","n m","fólksbíll, hafður til einkanota, fjölskyldubíll"
42771,"töfrastafur","n m","stafur til að fremja með galdur, töfrasproti"
24198,"klofstuttur","adj","með stutta fætur"
46739,"þakskegg","n n","sá hluti þaks sem nær út fyrir vegg"
42888,"umferðarslys","n n","slys sem verður í umferðinni"
59721,"plötuverslun","n f","plötubúð"
19059,"herðabreiður","adj","með breiðar herðar"
52976,"þrekmenni","n n","mjög sterkur maður"
53850,"skemmtanafíkn","n f","áköf löngun í skemmtanir"
23529,"kassadama","n f","kona sem vinnur við afgreiðslukassa í stórverslun"
39576,"stofustúlka","n f","kona sem vinnur þjónustustörf á efnuðu heimili"
41417,"tekjuöflun","n f","öflun tekna, laun eða verðmæti sem e-r útvegar"
2495,"afgreiðslufólk","n n","fólk sem vinnur við afgreiðslu í verslun"
17729,"handvömm","n f","klaufaleg mistök"
5775,"blaðamennska","n f","það að hafa atvinnu af að skrifa í blöð"
37123,"skrifstofustúlka","n f","kona sem vinnur á skrifstofu"
43014,"umsjá","n f","umsjón"
29961,"norðan","adv","úr norðri/norðurátt"
37124,"skrifstofuvinna","n f","vinna á skrifstofu"
31813,"pabbastelpa","n f","stúlka sem er hænd að föður sínum"
51193,"pláneta","n f","hnöttur sem er á braut umhverfis sól, reikistjarna"
37121,"skrifstofustarf","n n","vinna á skrifstofu"
